SF_Ratio_Pred,Blowdown_Loss_Min,Blowdown_Loss_Max,Enthalpy_Loss_Min,Enthalpy_Loss_Max,FD_Fan_Out_Min,FD_Fan_Out_Max,FeedWater_Temp_Min,FeedWater_Temp_Max,Fuel_Flow_Min,Fuel_Flow_Max,Fuel_Flow_Total_Min,Fuel_Flow_Total_Max,Stack_Loss_Min,Stack_Loss_Max,Stack_Temp_Min,Stack_Temp_Max,Steam_Flow_Min,Steam_Flow_Max
11.5,0,0.2,0.9,1.6,54,86,37,102,0,1704,1293.596,2956.469,8.4,48.7,115,237,788,7000
12.6,0.1,0.1,1.3,1.6,54,83,74,103,0,1285,1299.347,2535.132,7.2,19,186,234,1776,7000
7.5,0,0.1,1.1,1.6,54,86,62,108,0,1618,1357.289,2737.494,7.6,20.8,172,236,755,7000
19.2,0.1,0.2,1.2,1.6,54,56,76,99,0,384,1942.273,3025.856,10.1,28.1,159,241,803,4305
13.4,0.1,0.2,1.3,1.6,54,74,66,99,0,703,1296.225,2094.373,7.8,11.2,200,226,3996,7000
9.5,0,0.1,1.3,1.6,54,86,59,98,0,1784,1298.924,2729.496,8.2,14.7,195,237,1719,7000
14,0.1,0.2,1.3,1.5,55,86,67,96,0,1658,1296.368,2588.996,8.2,13.1,201,229,0,7000
17.2,0.2,0.3,1.4,1.6,54,84,65,99,0,1069,1944.169,2956.469,9,17.7,194,240,2664,7000
8.4,0,0.1,1.2,1.6,54,86,62,100,0,1676,1297.338,2925.971,7.3,16.5,182,238,1735,7000
14.6,0.1,0.2,1.3,1.6,54,86,68,93,0,1705,1316.089,3026.046,-0.1,11.2,185,230,2606,7000
13.6,0.1,0.2,1.4,1.6,54,86,66,100,0,1702,1296.352,3026.198,8.2,18.4,205,236,3347,7000
19.7,0.1,0.3,0.7,1.6,54,86,31,99,0,2267,1454.937,3026.046,-0.1,40.7,78,233,0,7000
11.8,0.1,0.2,1.3,1.6,54,85,65,99,0,1243,1293.671,3025.856,7.9,18.6,187,230,2627,7000
10.8,0.1,0.2,1.3,1.6,54,81,37,100,0,1056,1293.019,2921.23,7.9,14.3,193,235,2176,7000
2.1,0,0,0.8,1.7,54,86,31,98,0,3020,1723.287,3128.558,5.3,42.2,108,246,0,7000
16.5,0.1,0.2,1.3,1.5,54,86,89,98,0,1701,1944.169,2139.064,10,14.8,194,214,2557,7000
17.9,0.1,0.3,1,1.5,54,77,23,94,0,1017,1454.937,2783.71,12.5,25.5,116,211,0,7000
18.4,0.1,0.2,1.3,1.6,0,65,85,97,0,776,1454.937,3026.046,8.6,16.5,198,228,1263,7000
15.3,0,0.2,1,1.5,54,86,32,93,0,1703,1299.212,2900.06,10.8,69.4,120,217,0,7000
13.8,0.1,0.2,1.4,1.5,55,75,69,99,0,726,1296.289,2092.001,7.7,10.1,203,223,4218,7000
14.7,0.1,0.2,1.4,1.5,55,83,89,99,197,1322,1304.115,2588.877,8.4,16.2,209,230,3914,7000
0.1,0,0,0.9,1.3,55,81,27,111,0,974,1723.356,2784.055,4.9,17.1,116,188,0,0
1.3,0,0,0.6,1.5,54,86,27,94,0,1729,1723.902,2900.631,1.3,29.2,53,211,0,4329
14.1,0.1,0.2,1.2,1.6,54,85,66,99,0,2455,1302.391,2783.709,-0.1,13.8,164,245,1449,7000
1.6,0,0,0.7,1.7,54,86,33,96,0,2584,1959.021,3134.587,2.1,132,89,239,0,5333
